Ticker,Company,Sector,Industry,Country,P/E,Forward P/E,PEG,P/S,P/B,P/Cash,P/Free Cash Flow,Dividend Yield,Payout Ratio,EPS (ttm),EPS growth this year,EPS growth next year,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,EPS growth quarter over quarter,Sales growth quarter over quarter,Return on Assets,Return on Equity,Return on Investment,Gross Margin,Operating Margin,Profit Margin,Performance (Quarter),Performance (Half Year),Performance (Year),Beta,Volatility (Week),Volatility (Month),50-Day Simple Moving Average,200-Day Simple Moving Average,50-Day High,50-Day Low,52-Week High,52-Week Low,Relative Strength Index (14),Price
LKQ,LKQ Corp.,Consumer Goods,Auto Parts,USA,23.14,16.23,0.95,1.39,3.17,75.39,32.62,,0.00%,1.18,17.20%,22.59%,23.90%,24.30%,21.50%,36.00%,36.50%,7.40%,14.90%,9.90%,40.10%,10.40%,6.10%,-2.95%,-7.49%,-10.26%,0.67,1.68%,2.13%,3.76%,-4.14%,-0.66%,9.42%,-20.45%,11.61%,62.27,27.3
LLL,L-3 Communications Holdings Inc.,Industrial Goods,Aerospace/Defense Products & Services,USA,13.31,12.35,3.17,0.77,1.59,31.66,13.31,2.19%,27.40%,8.25,6.60%,10.33%,2.80%,4.20%,-3.30%,-12.10%,-5.70%,5.20%,12.30%,9.90%,9.90%,9.90%,6.00%,-6.24%,-4.09%,21.51%,1.15,1.51%,2.33%,-5.30%,-1.57%,-12.59%,11.15%,-13.26%,24.52%,48.22,109.77
LLTC,Linear Technology Corporation,Technology,Semiconductor - Specialized,USA,23.94,18.37,2.17,7.75,8.32,10.62,,2.37%,55.50%,1.9,11.10%,12.19%,8.20%,11.06%,7.50%,23.30%,11.60%,21.70%,38.80%,37.40%,75.60%,46.10%,33.10%,-0.46%,-0.46%,19.46%,1.25,1.29%,1.67%,-0.68%,1.16%,-4.83%,5.42%,-11.07%,22.53%,55.78,45.49
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - Major,USA,19.85,19.83,15.66,3.28,3.71,13.58,43.25,3.15%,62.20%,3.14,18.00%,12.90%,33.80%,1.27%,2.60%,-38.70%,-16.80%,9.80%,19.20%,18.20%,76.40%,20.20%,16.00%,5.06%,9.16%,23.04%,0.45,1.11%,1.46%,1.32%,10.75%,-4.39%,7.39%,-4.39%,35.82%,56.26,62.32
LM,Legg Mason Inc.,Financial,Asset Management,USA,19.02,14.42,0.99,2.04,1.21,3.14,13.98,1.31%,21.30%,2.56,187.90%,62.51%,16.70%,19.13%,-4.00%,60.50%,3.50%,4.30%,6.50%,5.10%,78.40%,16.90%,11.20%,-0.18%,9.07%,48.20%,1.39,1.30%,2.04%,-2.22%,6.64%,-6.35%,6.61%,-6.35%,52.71%,47.99,48.7
LMCA,Liberty Media Corporation,Services,Broadcasting - TV,USA,8.64,38.39,1.73,3.9,1.2,20.83,17.88,,0.00%,5.68,680.90%,45.23%,0.00%,5.00%,,-99.80%,-37.90%,2.10%,4.90%,4.80%,65.20%,19.10%,16.30%,10.92%,3.59%,0.86%,,1.04%,1.42%,3.05%,3.30%,-1.54%,8.30%,-11.78%,14.70%,62.2,49.06
LMT,Lockheed Martin Corporation,Industrial Goods,Aerospace/Defense Products & Services,USA,18.06,14.49,1.92,1.24,12.85,16.18,22.74,3.04%,51.50%,9.7,8.10%,7.42%,3.20%,9.40%,1.90%,4.50%,-0.90%,8.50%,83.10%,29.80%,11.20%,11.80%,7.10%,8.58%,7.18%,46.67%,0.73,1.11%,1.28%,6.17%,12.52%,-0.19%,12.11%,-0.19%,47.91%,70.47,175.15
LNC,Lincoln National Corporation,Financial,Life Insurance,USA,10.28,8.78,0.93,1.11,0.91,9.24,14.41,1.20%,10.40%,5.2,1.10%,7.35%,158.30%,11.00%,5.50%,28.70%,8.70%,0.60%,10.00%,7.80%,,17.20%,11.20%,10.99%,5.91%,21.68%,1.93,1.53%,1.73%,2.82%,6.58%,-0.80%,7.40%,-0.80%,32.07%,60.25,53.43
LNG,"Cheniere Energy, Inc.",Basic Materials,Oil & Gas Pipelines,USA,,,,66.66,,20.17,,,,-2.41,-26.80%,-16.70%,21.70%,,106.60%,-26.80%,0.60%,-5.50%,-405.80%,-6.90%,68.10%,-87.30%,,29.72%,50.86%,163.10%,3.24,1.77%,2.45%,5.60%,36.58%,-1.35%,15.60%,-1.35%,173.30%,65.66,75.43
LNKD,LinkedIn Corporation,Technology,Internet Information Providers,USA,,82.48,,15.06,9.62,11.76,742.05,,,-0.12,21.10%,46.56%,45.90%,37.73%,80.90%,-133.30%,46.80%,-0.40%,-0.50%,1.00%,86.80%,1.60%,-0.80%,45.21%,13.43%,-3.35%,,2.47%,2.53%,25.09%,18.50%,2.01%,47.67%,-12.10%,66.45%,80.62,226.4
LNT,Alliant Energy Corporation,Utilities,Electric Utilities,USA,16.13,15.89,3.43,1.88,1.91,394.25,,3.54%,55.40%,3.57,12.30%,5.04%,5.40%,4.70%,-2.20%,-5.10%,4.50%,3.50%,11.90%,7.00%,90.70%,16.80%,11.50%,1.71%,9.47%,18.90%,0.48,1.02%,1.46%,-0.57%,5.88%,-4.64%,4.60%,-4.64%,23.91%,52.34,57.57
LO,"Lorillard, Inc.",Consumer Goods,Cigarettes,USA,19.89,16.48,2.15,3.13,,24.71,118.96,4.07%,76.60%,3.04,12.10%,8.61%,12.90%,9.25%,10.60%,0.00%,-0.30%,31.90%,-52.10%,90.20%,37.80%,30.20%,15.90%,1.49%,28.30%,49.09%,0.42,0.68%,1.02%,-1.83%,11.31%,-10.36%,1.63%,-10.36%,51.26%,48.13,60.47
LOW,Lowe's Companies Inc.,Services,Home Improvement Stores,USA,23.35,16.74,1.42,0.98,4.64,68.22,21.52,1.75%,32.00%,2.25,26.60%,20.18%,7.50%,16.44%,2.10%,22.00%,2.40%,7.00%,19.20%,12.30%,34.80%,7.90%,4.40%,12.17%,12.22%,12.65%,1.16,2.12%,1.65%,9.74%,10.59%,-0.96%,17.04%,-0.96%,19.60%,78.96,52.53
LPT,Liberty Property Trust,Financial,REIT - Office,USA,62.62,34.48,11.39,7.6,1.69,22.71,,5.42%,137.70%,0.56,-8.20%,10.54%,-12.10%,5.50%,-2.30%,-9.10%,27.80%,3.00%,6.60%,3.20%,69.60%,30.10%,29.20%,-6.78%,-2.37%,7.18%,1.02,1.05%,1.25%,-4.26%,-1.64%,-9.29%,2.33%,-11.58%,14.15%,41.16,35.07
LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,USA,19.49,13.53,0.72,2.52,2.41,4.21,23.25,1.01%,6.00%,3.67,-51.10%,13.63%,-28.20%,27.20%,7.80%,772.70%,45.30%,6.50%,10.50%,2.80%,43.60%,14.80%,10.50%,18.32%,36.29%,48.89%,1.34,1.41%,2.33%,3.50%,23.17%,-1.93%,9.93%,-1.93%,55.21%,61.72,71.51
LUK,Leucadia National Corporation,Financial,Investment Brokerage - National,USA,131.63,,,0.83,0.9,1.25,,1.00%,8.10%,0.19,-70.20%,,15.90%,,84.30%,-78.00%,28.10%,2.20%,10.60%,1.80%,30.60%,2.40%,9.70%,-1.34%,-10.17%,-1.50%,1.74,1.02%,1.39%,-1.59%,-6.08%,-6.61%,3.82%,-14.79%,3.82%,47.82,25.01
LUV,Southwest Airlines Co.,Services,Regional Airlines,USA,20.56,15.46,0.65,1.2,2.93,5.47,15.34,0.75%,11.50%,1.55,87.50%,16.17%,34.30%,31.80%,9.90%,116.10%,7.90%,5.50%,15.00%,7.90%,61.50%,10.30%,6.00%,24.10%,44.67%,143.65%,1.09,2.33%,2.23%,13.83%,36.34%,0.44%,25.37%,0.44%,154.12%,77.92,31.87
LVLT,"Level 3 Communications, Inc.",Technology,Diversified Communication Services,USA,66.09,22.73,2.23,1.6,6.08,16.07,69.64,,0.00%,0.65,75.00%,35.19%,30.60%,29.70%,8.00%,290.90%,3.80%,1.20%,10.70%,5.60%,61.70%,13.90%,2.40%,-1.85%,10.75%,90.09%,1.58,1.68%,2.24%,-2.08%,12.26%,-12.72%,5.01%,-12.72%,94.48%,50.48,42.96
LVNTA,Liberty Ventures,Services,Broadcasting - TV,USA,54.51,18.58,,19.57,10.34,13.13,28.16,,0.00%,1.37,-95.30%,146.63%,0.00%,,,60.00%,22.20%,0.90%,5.10%,6.90%,,1.00%,10.30%,16.31%,7.01%,77.60%,,2.32%,2.14%,3.99%,15.38%,-1.02%,9.50%,-1.02%,82.57%,63.91,74.68
LVS,Las Vegas Sands Corp.,Services,Resorts & Casinos,USA,21.36,16.19,1.27,3.75,7.66,16.87,,2.89%,52.30%,3.24,50.80%,14.06%,50.90%,16.85%,25.70%,29.70%,11.80%,11.90%,35.30%,18.40%,43.40%,26.30%,17.80%,-6.96%,-16.95%,24.79%,1.73,1.19%,1.94%,-5.24%,-8.46%,-11.83%,5.13%,-20.59%,30.25%,41.19,69.21
M,"Macy's, Inc.",Services,Department Stores,USA,15.33,12.31,1.29,0.78,3.82,13.4,17.71,2.02%,25.90%,4.03,19.10%,13.07%,18.50%,11.84%,2.30%,11.10%,3.30%,7.00%,25.50%,13.90%,40.10%,10.00%,5.40%,6.98%,17.55%,40.20%,0.94,1.79%,1.92%,6.09%,10.99%,1.26%,10.68%,1.26%,48.58%,64.83,61.77
MA,MasterCard Incorporated,Financial,Credit Services,USA,27.61,21.3,1.68,9.95,14.22,13.35,28.43,0.58%,14.10%,2.77,16.90%,19.59%,72.90%,16.44%,10.80%,14.30%,13.40%,23.10%,47.20%,41.70%,,55.30%,37.10%,0.18%,0.98%,23.77%,0.87,1.05%,1.46%,1.07%,0.40%,-3.46%,5.72%,-9.49%,27.38%,54.74,76.48
MAA,Mid-America Apartment Communities Inc.,Financial,REIT - Residential,USA,107,51.32,21.4,7.19,1.84,44.23,,4.07%,95.00%,0.67,-50.40%,51.03%,5.10%,5.00%,12.70%,-72.70%,90.40%,2.70%,6.60%,1.80%,67.20%,21.80%,17.30%,1.46%,8.23%,19.88%,0.55,1.02%,1.30%,-0.41%,7.75%,-4.53%,3.11%,-4.53%,25.04%,49.28,71.69
MAC,The Macerich Company,Financial,REIT - Retail,USA,127.24,60.31,25.1,8.76,2.82,161.6,,3.82%,158.40%,0.51,-54.40%,28.25%,2.30%,5.07%,3.20%,-79.60%,3.40%,2.40%,6.60%,0.30%,58.70%,22.30%,20.80%,-0.08%,8.86%,19.63%,1.17,0.91%,1.28%,-1.34%,6.06%,-4.80%,2.87%,-4.80%,22.51%,46.46,64.89
MAN,ManpowerGroup Inc.,Services,Staffing & Outsourcing Services,USA,16.8,13.21,1.45,0.3,2.02,9.75,18.5,1.25%,30.40%,4.65,46.60%,12.48%,7.00%,11.55%,-1.20%,55.20%,5.60%,5.10%,12.80%,9.50%,16.70%,3.10%,1.80%,-3.92%,5.85%,17.83%,2.3,1.41%,1.75%,-3.73%,-2.57%,-9.76%,4.24%,-10.05%,22.65%,47.34,78.12
MAR,"Marriott International, Inc.",Services,Lodging,USA,30.7,23.25,1.82,1.51,,103.59,34.59,1.17%,31.30%,2.23,16.30%,17.76%,15.60%,16.85%,-0.10%,13.80%,6.80%,10.10%,-43.80%,41.80%,13.80%,8.00%,5.10%,15.86%,29.25%,67.85%,1.36,0.85%,1.44%,5.50%,23.49%,-0.42%,12.54%,-0.42%,74.26%,69.94,68.45
MAS,Masco Corporation,Industrial Goods,General Building Materials,USA,23.5,18.06,1.09,1,11.93,5.89,19.99,1.53%,29.70%,1,587.50%,27.42%,22.30%,21.52%,-2.90%,69.60%,5.20%,5.00%,62.10%,14.10%,28.00%,9.30%,4.20%,10.90%,6.33%,22.52%,1.89,1.49%,2.19%,8.31%,8.39%,-0.09%,16.45%,-0.24%,30.55%,71.04,23.5
MAT,"Mattel, Inc.",Consumer Goods,Toys & Games,USA,15.08,13.6,2.65,1.87,4.02,22.81,,4.34%,63.00%,2.32,16.20%,19.23%,19.90%,5.70%,1.80%,-75.00%,-50.90%,12.60%,26.10%,20.00%,52.30%,16.10%,12.70%,-9.26%,-1.74%,-12.92%,0.71,1.28%,1.33%,-5.97%,-11.55%,-12.52%,0.75%,-25.52%,1.03%,37.99,34.99
MCD,McDonald's Corp.,Services,Restaurants,USA,17.11,15.66,2.78,3.28,5.77,25.27,66.47,3.43%,57.60%,5.52,3.50%,8.14%,8.10%,6.16%,3.60%,1.40%,1.40%,15.10%,34.70%,20.40%,38.70%,30.10%,19.50%,-6.65%,-0.50%,2.24%,0.36,0.65%,0.73%,-3.41%,-2.39%,-7.67%,1.65%,-8.26%,4.12%,39.15,94.45
MCHP,Microchip Technology Inc.,Technology,Semiconductor - Specialized,USA,25.96,15.24,1.51,4.79,4.48,7.12,,2.97%,69.80%,1.84,193.50%,11.29%,6.80%,17.20%,16.40%,8.10%,14.30%,10.20%,19.90%,13.40%,58.50%,23.90%,20.40%,3.14%,7.14%,26.16%,1.13,1.23%,1.80%,0.30%,5.10%,-3.81%,7.48%,-3.81%,28.22%,58.69,47.76
MCK,McKesson Corporation,Services,Drugs Wholesale,USA,33.1,15.26,2.38,0.3,4.94,10.83,22.83,0.50%,17.00%,5.8,3.40%,16.53%,14.60%,13.90%,5.20%,-3.80%,36.70%,2.80%,14.80%,8.40%,6.10%,1.70%,0.80%,4.62%,9.18%,57.16%,0.74,1.01%,1.55%,1.41%,9.30%,-2.26%,5.91%,-2.26%,60.63%,52.3,192
MCO,Moody's Corporation,Services,Business Services,USA,21.62,20.31,1.58,6.21,43.76,9.91,26.76,1.22%,24.50%,4.25,18.00%,12.73%,14.00%,13.65%,11.10%,48.00%,15.50%,21.00%,256.10%,36.10%,72.40%,43.10%,29.70%,11.72%,17.43%,42.86%,1.36,0.97%,1.63%,3.58%,14.25%,-2.98%,9.10%,-2.98%,47.95%,62.09,91.89
MCRS,"MICROS Systems, Inc.",Technology,Application Software,USA,31.26,24.34,1.74,3.79,4.35,7.71,25.79,,0.00%,2.17,4.40%,9.47%,12.10%,18.00%,5.90%,20.00%,10.80%,12.30%,17.70%,14.80%,52.30%,17.80%,15.00%,29.25%,23.82%,34.85%,1.13,0.11%,0.14%,1.35%,18.39%,-3.43%,25.43%,-3.43%,41.90%,53.77,67.83
MD,"MEDNAX, Inc.",Healthcare,Specialized Health Services,USA,19.11,16.61,1.44,2.49,2.32,224.93,15.49,,0.00%,2.97,14.90%,8.44%,12.20%,13.30%,15.10%,16.20%,12.50%,9.70%,12.90%,12.00%,32.90%,21.10%,13.10%,-0.12%,-6.49%,16.05%,0.74,1.24%,1.80%,-1.47%,-1.25%,-5.51%,2.66%,-12.00%,17.23%,48.11,56.77
MDLZ,"Mondelez International, Inc.",Consumer Goods,Confectioners,USA,33.19,18.58,2.34,1.73,1.87,28.35,16.66,1.56%,27.10%,1.08,46.60%,14.68%,3.20%,14.17%,-2.70%,9.10%,-1.80%,4.80%,10.90%,7.90%,36.90%,12.40%,10.00%,-3.37%,5.04%,17.16%,0.5,0.89%,1.52%,-3.58%,1.74%,-9.33%,2.66%,-9.33%,21.27%,41.3,35.85
MDT,"Medtronic, Inc.",Healthcare,Medical Appliances & Equipment,USA,21.06,14.7,3.16,3.73,3.27,4.45,18.38,1.92%,36.70%,3.02,-10.40%,7.02%,10.40%,6.66%,3.10%,-53.70%,2.40%,8.40%,16.10%,10.10%,74.50%,28.30%,18.00%,6.62%,11.44%,21.52%,1.08,1.15%,1.41%,1.05%,7.18%,-2.45%,9.57%,-2.45%,26.59%,54.57,63.59
MDU,MDU Resources Group Inc.,Utilities,Diversified Utilities,USA,20.88,17.62,2.97,1.32,2.08,72.57,,2.27%,46.70%,1.5,3.90%,11.82%,-1.60%,7.03%,-2.30%,16.70%,3.10%,4.00%,10.30%,7.60%,85.80%,10.80%,6.20%,-7.58%,-8.98%,16.60%,0.85,1.19%,1.78%,-4.26%,-3.29%,-11.55%,5.81%,-12.65%,23.57%,45.41,31.32
MDVN,"Medivation, Inc.",Healthcare,Biotechnology,USA,301.57,26.72,,16.55,45.16,22.36,221.3,,0.00%,0.28,-1.80%,32.61%,11.70%,,85.00%,957.10%,111.30%,5.80%,26.20%,-7.90%,,11.90%,6.00%,22.48%,-2.91%,51.00%,0.73,2.45%,2.98%,9.09%,20.03%,-3.13%,22.18%,-4.26%,75.37%,61.02,84.44
MET,"MetLife, Inc.",Financial,Life Insurance,USA,13.67,8.79,1.87,0.86,0.93,7.03,,2.61%,29.70%,3.92,172.00%,9.05%,-7.50%,7.30%,6.20%,178.60%,16.00%,0.50%,7.20%,4.10%,,10.40%,6.30%,6.29%,6.82%,13.01%,1.85,1.36%,1.60%,-1.40%,3.60%,-6.27%,5.47%,-6.27%,20.75%,51.98,53.59
MGM,MGM Resorts International,Services,Resorts & Casinos,USA,89.57,34.45,7.17,1.21,2.76,9.02,17.72,,0.00%,0.28,91.20%,15.92%,36.30%,12.50%,6.40%,210.50%,4.00%,0.60%,3.30%,6.10%,36.60%,13.20%,1.40%,0.04%,-9.91%,40.74%,2.23,1.49%,2.48%,-2.45%,2.47%,-9.26%,3.42%,-12.77%,44.97%,43.5,25.08
MHFI,"McGraw Hill Financial, Inc.",Services,Business Services,USA,23.01,18,1.54,4.24,14.82,13.19,46.76,1.52%,34.00%,3.42,21.80%,12.53%,2.90%,14.94%,-5.20%,-26.40%,-44.60%,15.40%,72.90%,45.80%,57.10%,32.00%,18.40%,-1.09%,-1.43%,33.27%,0.98,0.73%,1.21%,-3.44%,1.26%,-7.12%,1.30%,-7.19%,36.71%,41.32,78.71
MHK,Mohawk Industries Inc.,Consumer Goods,Home Furnishings & Fixtures,USA,23.1,15.07,1.14,1.38,2.29,152.4,272.84,,0.00%,6.34,40.40%,18.88%,17.50%,20.20%,1.50%,76.30%,3.60%,5.20%,10.00%,7.00%,27.50%,9.90%,5.80%,7.37%,5.19%,16.86%,1.54,1.64%,2.03%,9.41%,5.78%,-0.03%,18.29%,-5.80%,26.27%,75.04,146.46
MIC,Macquarie Infrastructure Company LLC,Services,"Air Services, Other",USA,70.27,28.49,1.27,4.64,4.11,59.31,,5.23%,356.60%,1.02,110.30%,92.06%,19.10%,55.40%,1.30%,950.00%,11.20%,2.30%,5.70%,1.20%,40.90%,8.70%,5.20%,20.17%,34.81%,40.94%,1.37,1.30%,1.63%,7.61%,25.61%,-1.10%,22.39%,-1.10%,46.66%,65.91,71.68
MIDD,Middleby Corp.,Industrial Goods,Diversified Machinery,USA,28.71,22.13,1.19,3.27,5.47,155.22,29.46,,0.00%,3.05,26.90%,20.27%,17.00%,24.10%,17.00%,26.90%,16.80%,9.40%,20.40%,12.20%,39.20%,18.70%,11.20%,12.17%,-0.27%,35.27%,1.33,1.67%,2.78%,9.64%,7.09%,-2.13%,24.11%,-14.19%,43.32%,67.18,87.56
MJN,Mead Johnson Nutrition Company,Consumer Goods,Processed & Packaged Goods,USA,27.83,22.63,2.83,4.4,43.88,12.02,90.78,1.59%,40.90%,3.39,7.80%,12.13%,6.60%,9.83%,7.80%,0.00%,5.30%,19.00%,214.50%,39.00%,63.30%,24.10%,15.90%,9.90%,17.53%,25.69%,0.73,0.91%,1.48%,1.53%,10.52%,-4.09%,10.28%,-4.09%,30.23%,54.31,94.34
MKC,"McCormick & Company, Incorporated",Consumer Goods,Processed & Packaged Goods,USA,22.87,19.38,3,1.93,4.58,99.81,37.72,2.14%,46.40%,3.02,-4.30%,8.59%,8.40%,7.63%,5.40%,8.50%,3.10%,9.10%,21.00%,13.20%,40.70%,14.80%,9.50%,-1.83%,5.34%,0.32%,0.48,1.06%,1.24%,-0.86%,0.53%,-4.89%,6.39%,-5.32%,11.22%,52.18,69.07
MKL,Markel Corp.,Financial,Property & Casualty Insurance,USA,31.57,27.07,3.16,1.82,1.27,4.65,12.86,,0.00%,20.51,-13.20%,6.05%,42.00%,10.00%,13.30%,18.80%,21.60%,1.20%,4.20%,4.50%,,9.90%,5.80%,3.59%,11.63%,23.02%,0.75,0.78%,1.04%,0.21%,7.91%,-2.79%,3.77%,-2.79%,27.29%,55.46,647.43
MLM,Martin Marietta Materials Inc.,Industrial Goods,General Building Materials,USA,41.14,23.29,5.14,3.75,3.83,252.03,130,1.24%,51.10%,3.14,42.20%,44.64%,-8.30%,8.00%,0.40%,43.80%,19.20%,4.40%,9.60%,6.80%,17.60%,11.00%,6.30%,4.75%,11.41%,33.13%,1.25,0.97%,1.68%,0.05%,10.31%,-5.27%,4.48%,-5.27%,38.88%,53.98,129.18
MMC,"Marsh & McLennan Companies, Inc.",Financial,Insurance Brokers,USA,20.22,16.8,1.63,2.25,3.51,14.16,35.58,2.15%,38.30%,2.58,13.10%,10.94%,28.20%,12.43%,2.70%,11.40%,6.90%,8.40%,18.40%,13.40%,41.50%,18.00%,11.30%,5.59%,9.67%,24.81%,0.77,0.61%,1.16%,1.15%,7.23%,-2.60%,4.13%,-2.60%,30.22%,57.3,52.16
MMM,3M Company,Industrial Goods,Diversified Machinery,USA,20.36,17.44,1.7,2.97,5.45,31.04,40.27,2.37%,41.30%,7.08,6.30%,10.53%,6.60%,11.97%,4.10%,10.50%,4.90%,14.30%,27.40%,20.50%,48.20%,22.10%,15.30%,2.12%,9.70%,27.92%,1.09,0.78%,1.04%,0.44%,6.04%,-1.57%,4.12%,-1.57%,30.55%,57.12,144.13
MMP,Magellan Midstream Partners LP,Basic Materials,Oil & Gas Pipelines,USA,26.74,24.08,1.99,8.81,10.68,26891.58,472.97,2.96%,73.80%,3.1,33.30%,3.89%,18.20%,13.43%,9.40%,-5.90%,11.80%,14.40%,41.90%,16.20%,52.70%,38.70%,33.00%,3.52%,26.12%,56.80%,0.52,1.25%,2.14%,0.30%,16.47%,-3.66%,7.47%,-3.66%,65.19%,51.65,82.9
MNST,Monster Beverage Corporation,Consumer Goods,Beverages - Soft Drinks,USA,40.55,29.33,2.62,6.28,13.07,19.23,36.98,,0.00%,2.13,4.80%,14.32%,28.80%,15.50%,16.80%,48.60%,10.70%,29.70%,44.40%,35.00%,52.50%,26.70%,18.90%,23.97%,15.90%,43.73%,0.2,2.63%,2.31%,22.06%,27.12%,-9.02%,35.33%,-9.02%,68.86%,69.29,86.37
MO,Altria Group Inc.,Consumer Goods,Cigarettes,USA,19.63,15.41,2.59,3.46,19.18,70.81,107.2,4.51%,88.50%,2.17,9.70%,7.51%,8.80%,7.57%,4.80%,1.60%,-0.80%,12.40%,103.80%,24.60%,41.30%,31.50%,17.70%,5.89%,23.38%,33.51%,0.49,0.81%,1.18%,1.41%,11.34%,-2.54%,5.79%,-2.54%,35.28%,60.43,42.59
MON,Monsanto Company,Basic Materials,Agricultural Chemicals,USA,23.46,19,1.79,3.97,4.17,32.23,971.07,1.47%,24.50%,4.97,21.50%,17.61%,5.00%,13.13%,5.50%,-3.60%,0.00%,11.60%,19.90%,18.10%,53.60%,25.60%,17.20%,-2.42%,7.80%,23.00%,1.44,1.43%,1.34%,-2.39%,2.41%,-9.13%,4.00%,-9.13%,25.95%,43.16,116.62
MOS,The Mosaic Company,Basic Materials,Agricultural Chemicals,USA,23.27,13.5,2.73,1.93,1.58,7.23,23.94,2.11%,49.00%,2.04,-81.90%,32.68%,-31.40%,8.53%,-14.30%,-42.10%,-9.40%,4.40%,6.80%,1.80%,19.20%,13.20%,8.70%,-3.67%,-0.11%,16.75%,1.47,0.95%,1.31%,-1.01%,-0.28%,-7.38%,4.33%,-7.38%,17.83%,52.53,47.47
MPC,Marathon Petroleum Corporation,Basic Materials,Oil & Gas Refining & Marketing,USA,14.45,9.83,1.16,0.25,2.44,12.06,16.48,2.21%,26.70%,6.26,-32.80%,24.18%,14.30%,12.47%,9.00%,61.70%,4.80%,6.40%,17.30%,16.10%,5.90%,3.00%,1.80%,4.36%,3.69%,23.32%,,1.62%,2.27%,9.55%,6.43%,-1.63%,20.17%,-6.47%,50.55%,70.22,90.43
MRD,Memorial Resource Development Corp.,Basic Materials,Oil & Gas Drilling & Exploration,USA,50.44,26.78,,8.34,23.91,135.94,,,0.00%,0.55,253.30%,49.49%,0.00%,,,128.60%,62.20%,5.10%,33.90%,11.40%,76.80%,23.90%,17.10%,,,,,4.41%,4.04%,13.32%,13.32%,0.33%,31.66%,0.33%,31.66%,72.82,27.74
MRK,Merck & Co. Inc.,Healthcare,Drug Manufacturers - Major,USA,31.14,16.4,7.74,3.92,3.57,12.74,32.75,2.97%,90.60%,1.9,-26.50%,3.41%,-16.50%,4.03%,13.00%,126.70%,-0.70%,5.40%,11.50%,6.60%,59.80%,17.90%,12.90%,4.95%,6.94%,27.96%,0.39,1.19%,1.43%,1.96%,9.11%,-0.82%,6.48%,-0.82%,35.88%,59.05,59.17
MRO,Marathon Oil Corporation,Basic Materials,Independent Oil & Gas,USA,16.6,13.43,3.06,2.01,1.36,23.08,56.32,1.90%,20.00%,2.41,-0.90%,-5.85%,-13.90%,5.42%,-28.10%,55.90%,-1.60%,7.30%,13.50%,7.20%,65.60%,29.80%,19.60%,10.86%,19.30%,22.14%,1.36,1.37%,1.82%,1.81%,11.56%,-1.28%,6.10%,-1.28%,28.81%,57.35,40
MS,Morgan Stanley,Financial,Investment Brokerage - National,USA,15.79,11.53,0.61,1.76,1.01,0.66,,1.20%,6.80%,2.12,17.00%,20.41%,23.40%,25.86%,183.00%,118.60%,-1.40%,0.50%,6.70%,1.10%,84.60%,14.60%,11.30%,10.10%,11.12%,28.88%,2.05,1.30%,1.68%,3.94%,8.23%,-0.09%,7.62%,-0.09%,33.86%,64.68,33.47
MSCI,MSCI Inc.,Technology,Application Software,USA,26.71,20.94,2.14,5.28,3.24,7.88,26.82,,0.00%,1.73,23.60%,10.13%,18.00%,12.50%,18.50%,4.30%,11.30%,9.30%,18.40%,10.40%,68.90%,34.50%,28.50%,7.59%,4.52%,20.03%,1.33,1.02%,1.54%,1.31%,5.56%,-2.55%,5.60%,-2.55%,24.32%,61.48,46.21
MSFT,Microsoft Corporation,Technology,Business Software & Services,USA,17.17,14.13,2.29,4.28,4.15,4.34,20.82,2.48%,42.10%,2.63,1.90%,17.46%,10.20%,7.50%,8.20%,-6.80%,17.50%,14.10%,25.70%,19.60%,69.00%,32.10%,25.40%,13.24%,21.40%,43.38%,0.97,1.01%,1.29%,5.57%,15.66%,-0.60%,12.76%,-0.60%,50.06%,67.18,45.15
MSG,The Madison Square Garden Company,Services,Entertainment - Diversified,USA,36.36,30.99,1.85,3.3,3.15,65.66,224.24,,0.00%,1.79,32.60%,28.44%,94.90%,19.67%,5.20%,-51.00%,11.30%,4.90%,9.10%,9.80%,44.30%,15.10%,9.20%,25.78%,11.13%,10.17%,0.74,3.59%,1.98%,7.17%,13.90%,-0.34%,14.18%,-0.34%,35.13%,69.58,65.08
MSI,"Motorola Solutions, Inc.",Technology,Communication Equipment,USA,18.78,17.63,4.17,1.97,3.75,5.34,25.27,2.03%,19.80%,3.26,37.60%,30.65%,18.90%,4.50%,2.00%,-63.00%,-6.90%,13.50%,45.10%,19.10%,48.10%,15.10%,20.50%,-8.19%,-4.86%,10.84%,0.95,0.98%,1.28%,-5.60%,-5.62%,-9.37%,1.14%,-9.98%,12.09%,34.97,61.23
MSM,MSC Industrial Direct Co. Inc.,Services,Industrial Equipment Wholesale,USA,24.65,20.08,1.8,2.05,3.91,123.69,39.32,1.47%,35.10%,3.65,-8.30%,13.45%,4.30%,13.73%,6.70%,5.10%,13.10%,11.60%,16.60%,14.60%,46.20%,14.50%,8.30%,0.66%,6.99%,15.38%,1.1,1.09%,1.29%,-0.24%,5.00%,-6.19%,6.76%,-6.56%,21.96%,55.18,89.96
